plate,phone,email,entry_point,exit_point,entry_time,exit_time,speed_kmph,speed_limit_kmph
NJ-KID9242,+1-908-401-7318,njkid9242@icloud.com,Manhattan Downtown,Times Square,2025-11-27T08:46:00,2025-11-27T09:45:00,95.61,96.56
NJ-JHN7790,+1-908-400-1068,njjhn7790@yahoo.com,Queens Blvd,George Washington Bridge,2025-11-27T12:44:00,2025-11-27T13:36:00,96.9,112.65
CA-UWZ7919,+1-747-485-1872,cauwz7919@icloud.com,George Washington Bridge,Manhattan Downtown,2025-11-27T07:36:00,2025-11-27T07:56:00,120.16,104.61
IL-JBI8949,+1-331-471-5357,iljbi8949@yahoo.com,Lincoln Tunnel,Manhattan Downtown,2025-11-27T11:17:00,2025-11-27T11:53:00,140.77,128.75
NJ-YTZ3484,+1-973-664-8893,njytz3484@outlook.com,Manhattan Downtown,Lincoln Tunnel,2025-11-27T22:18:00,2025-11-27T22:41:00,124.01,112.65
TX-EIK2413,+1-409-929-5726,txeik2413@gmail.com,Wall Street,I-95 Exit 15,2025-11-27T16:00:00,2025-11-27T16:36:00,121.87,120.7
IL-IAQ3060,+1-815-991-9512,iliaq3060@outlook.com,Times Square,I-87 Exit 7A,2025-11-27T17:49:00,2025-11-27T18:24:00,78.45,80.47
CA-ZGA9713,+1-657-804-3940,cazga9713@outlook.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T06:55:00,2025-11-27T07:55:00,141.95,112.65
CA-RQF5998,+1-310-597-4779,carqf5998@outlook.com,Manhattan Downtown,Queens Blvd,2025-11-27T13:10:00,2025-11-27T13:57:00,113.73,128.75
IL-YTX4189,+1-779-603-8103,ilytx4189@gmail.com,Staten Island Ferry,Bronx Terminal Market,2025-11-27T15:39:00,2025-11-27T15:50:00,112.0,96.56
FL-APW7691,+1-863-244-0674,flapw7691@icloud.com,Wall Street,Brooklyn Bridge,2025-11-27T06:04:00,2025-11-27T06:30:00,83.33,104.61
TX-EYI5974,+1-830-230-9762,txeyi5974@icloud.com,Times Square,Queens Blvd,2025-11-27T20:13:00,2025-11-27T21:01:00,78.43,96.56
IL-DHD3937,+1-217-374-1278,ildhd3937@gmail.com,I-95 Exit 15,Times Square,2025-11-27T14:54:00,2025-11-27T15:54:00,120.69,120.7
IL-XHP6488,+1-815-299-9950,ilxhp6488@yahoo.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T10:26:00,2025-11-27T11:26:00,80.0,80.47
FL-IVP5032,+1-305-441-0033,flivp5032@outlook.com,Queens Blvd,Bronx Terminal Market,2025-11-27T17:13:00,2025-11-27T17:52:00,139.59,120.7
NY-XHF9588,+1-518-882-2361,nyxhf9588@gmail.com,Staten Island Ferry,Brooklyn Bridge,2025-11-27T11:43:00,2025-11-27T12:02:00,68.15,80.47
NY-ERN6580,+1-680-372-6827,nyern6580@icloud.com,Lincoln Tunnel,Wall Street,2025-11-27T20:59:00,2025-11-27T21:32:00,86.21,96.56
NY-MOZ9291,+1-646-535-2362,nymoz9291@outlook.com,Brooklyn Bridge,Staten Island Ferry,2025-11-27T21:07:00,2025-11-27T21:45:00,125.99,112.65
IL-YBY1060,+1-708-751-8586,ilyby1060@outlook.com,Times Square,Queens Blvd,2025-11-27T15:03:00,2025-11-27T16:01:00,109.64,120.7
NY-DTW2801,+1-718-218-4778,nydtw2801@gmail.com,George Washington Bridge,Lincoln Tunnel,2025-11-27T22:26:00,2025-11-27T22:38:00,148.18,120.7
TX-FWH2391,+1-469-249-5401,txfwh2391@icloud.com,Staten Island Ferry,I-95 Exit 15,2025-11-27T21:45:00,2025-11-27T22:44:00,82.4,96.56
NY-RSQ2513,+1-917-829-9103,nyrsq2513@gmail.com,Queens Blvd,Staten Island Ferry,2025-11-27T09:39:00,2025-11-27T10:11:00,134.33,104.61
TX-OAF9238,+1-903-893-0296,txoaf9238@yahoo.com,Staten Island Ferry,Bronx Terminal Market,2025-11-27T21:31:00,2025-11-27T22:09:00,123.24,104.61
IL-PHJ8061,+1-618-587-8103,ilphj8061@gmail.com,George Washington Bridge,Manhattan Downtown,2025-11-27T20:40:00,2025-11-27T21:14:00,95.04,96.56
TX-GND8570,+1-409-468-1700,txgnd8570@icloud.com,Queens Blvd,Bronx Terminal Market,2025-11-27T12:09:00,2025-11-27T12:34:00,120.18,112.65
FL-VJB8798,+1-954-275-7280,flvjb8798@icloud.com,I-95 Exit 15,Lincoln Tunnel,2025-11-27T19:48:00,2025-11-27T20:47:00,143.61,112.65
CA-CYQ5887,+1-559-994-8152,cacyq5887@icloud.com,Lincoln Tunnel,Manhattan Downtown,2025-11-27T17:45:00,2025-11-27T18:40:00,122.04,96.56
FL-BBW1928,+1-954-835-7911,flbbw1928@gmail.com,Queens Blvd,Wall Street,2025-11-27T08:45:00,2025-11-27T09:06:00,102.07,104.61
TX-SAE2152,+1-726-399-5345,txsae2152@icloud.com,I-87 Exit 7A,Queens Blvd,2025-11-27T18:11:00,2025-11-27T18:22:00,116.75,96.56
FL-SHZ5007,+1-850-732-7846,flshz5007@outlook.com,Bronx Terminal Market,I-95 Exit 15,2025-11-27T21:58:00,2025-11-27T22:44:00,84.51,80.47
IL-FGE4366,+1-618-775-1101,ilfge4366@outlook.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T16:15:00,2025-11-27T16:33:00,98.15,80.47
TX-GDW5771,+1-512-700-1484,txgdw5771@outlook.com,Times Square,I-87 Exit 7A,2025-11-27T18:41:00,2025-11-27T18:55:00,124.34,128.75
FL-NKH1904,+1-689-675-8614,flnkh1904@outlook.com,Staten Island Ferry,Times Square,2025-11-27T18:51:00,2025-11-27T19:33:00,96.62,96.56
CA-EFD2841,+1-909-891-1423,caefd2841@yahoo.com,Times Square,Brooklyn Bridge,2025-11-27T15:59:00,2025-11-27T16:36:00,134.63,112.65
TX-PSL8954,+1-830-333-9126,txpsl8954@yahoo.com,Queens Blvd,Brooklyn Bridge,2025-11-27T15:42:00,2025-11-27T16:35:00,114.98,120.7
IL-PYV7213,+1-779-561-1417,ilpyv7213@outlook.com,George Washington Bridge,Staten Island Ferry,2025-11-27T22:10:00,2025-11-27T22:30:00,93.41,112.65
CA-OUH4216,+1-213-652-1336,caouh4216@icloud.com,Manhattan Downtown,I-87 Exit 7A,2025-11-27T17:45:00,2025-11-27T18:40:00,133.52,104.61
CA-PTM4612,+1-424-436-4198,captm4612@icloud.com,Wall Street,Lincoln Tunnel,2025-11-27T19:58:00,2025-11-27T20:50:00,160.75,128.75
NJ-EBG6117,+1-908-729-5522,njebg6117@outlook.com,I-95 Exit 15,Wall Street,2025-11-27T07:31:00,2025-11-27T08:06:00,109.54,104.61
CA-UFI3998,+1-909-875-5063,caufi3998@icloud.com,Wall Street,George Washington Bridge,2025-11-27T11:39:00,2025-11-27T12:19:00,117.7,104.61
TX-YLU8243,+1-361-762-8373,txylu8243@yahoo.com,I-95 Exit 15,I-87 Exit 7A,2025-11-27T10:56:00,2025-11-27T11:07:00,109.77,120.7
CA-GBU4253,+1-650-806-8907,cagbu4253@icloud.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T19:52:00,2025-11-27T20:37:00,101.1,80.47
NY-VDX4628,+1-332-278-8204,nyvdx4628@yahoo.com,Staten Island Ferry,Brooklyn Bridge,2025-11-27T08:11:00,2025-11-27T09:03:00,117.52,96.56
TX-PYC3529,+1-682-509-8128,txpyc3529@yahoo.com,I-87 Exit 7A,Lincoln Tunnel,2025-11-27T17:37:00,2025-11-27T18:35:00,91.32,104.61
CA-PXY1115,+1-657-865-6928,capxy1115@gmail.com,Lincoln Tunnel,Wall Street,2025-11-27T11:15:00,2025-11-27T12:13:00,82.36,96.56
FL-YFQ1055,+1-941-453-4818,flyfq1055@outlook.com,Times Square,Queens Blvd,2025-11-27T06:46:00,2025-11-27T07:15:00,105.34,112.65
NJ-EEJ5430,+1-862-902-2096,njeej5430@gmail.com,Staten Island Ferry,Lincoln Tunnel,2025-11-27T13:23:00,2025-11-27T13:46:00,143.31,128.75
NJ-SLJ3417,+1-551-303-6563,njslj3417@gmail.com,I-87 Exit 7A,Wall Street,2025-11-27T14:00:00,2025-11-27T14:19:00,123.27,112.65
TX-DNU7797,+1-806-776-9212,txdnu7797@icloud.com,Queens Blvd,I-87 Exit 7A,2025-11-27T17:55:00,2025-11-27T18:47:00,88.3,104.61
NJ-NHC3820,+1-856-256-6402,njnhc3820@gmail.com,George Washington Bridge,Brooklyn Bridge,2025-11-27T08:38:00,2025-11-27T09:28:00,129.2,112.65
FL-DOW2376,+1-386-546-9039,fldow2376@yahoo.com,Manhattan Downtown,Wall Street,2025-11-27T16:57:00,2025-11-27T17:41:00,110.92,80.47
NJ-JQZ4974,+1-551-307-4932,njjqz4974@outlook.com,Manhattan Downtown,I-95 Exit 15,2025-11-27T11:29:00,2025-11-27T12:26:00,125.69,128.75
NJ-MVI2869,+1-973-971-7099,njmvi2869@gmail.com,Times Square,Wall Street,2025-11-27T12:56:00,2025-11-27T13:31:00,112.53,112.65
IL-LAJ1363,+1-779-583-9468,illaj1363@gmail.com,Times Square,George Washington Bridge,2025-11-27T11:48:00,2025-11-27T12:40:00,70.54,80.47
CA-FUC3998,+1-657-804-2496,cafuc3998@outlook.com,I-95 Exit 15,I-87 Exit 7A,2025-11-27T06:34:00,2025-11-27T07:10:00,113.38,120.7
NJ-YBR6512,+1-551-323-4159,njybr6512@yahoo.com,Brooklyn Bridge,Manhattan Downtown,2025-11-27T06:24:00,2025-11-27T07:02:00,134.31,112.65
TX-CKF2862,+1-346-960-4247,txckf2862@icloud.com,I-95 Exit 15,Queens Blvd,2025-11-27T06:42:00,2025-11-27T07:01:00,88.27,96.56
FL-JDI9901,+1-754-490-1330,fljdi9901@icloud.com,George Washington Bridge,Manhattan Downtown,2025-11-27T11:24:00,2025-11-27T12:08:00,90.54,96.56
NJ-FZN7517,+1-640-463-1125,njfzn7517@yahoo.com,Brooklyn Bridge,Queens Blvd,2025-11-27T15:46:00,2025-11-27T16:22:00,89.42,96.56
NY-GKF3924,+1-718-517-9722,nygkf3924@gmail.com,Queens Blvd,Staten Island Ferry,2025-11-27T09:21:00,2025-11-27T09:33:00,74.42,80.47
CA-OUW9376,+1-714-582-3668,caouw9376@outlook.com,Bronx Terminal Market,Queens Blvd,2025-11-27T10:27:00,2025-11-27T11:26:00,106.7,128.75
IL-AZC1354,+1-217-986-7556,ilazc1354@gmail.com,Staten Island Ferry,Wall Street,2025-11-27T06:13:00,2025-11-27T06:58:00,100.71,120.7
NJ-FOJ9401,+1-640-827-6074,njfoj9401@gmail.com,I-95 Exit 15,Brooklyn Bridge,2025-11-27T15:13:00,2025-11-27T15:23:00,81.88,104.61
FL-IHN7074,+1-321-678-2818,flihn7074@outlook.com,Times Square,I-95 Exit 15,2025-11-27T16:09:00,2025-11-27T16:59:00,138.8,128.75
TX-GZW4805,+1-737-445-9489,txgzw4805@icloud.com,Brooklyn Bridge,Lincoln Tunnel,2025-11-27T21:54:00,2025-11-27T22:18:00,139.5,128.75
TX-JNV1773,+1-713-275-9426,txjnv1773@yahoo.com,Manhattan Downtown,Wall Street,2025-11-27T21:24:00,2025-11-27T21:38:00,91.69,96.56
NY-DZI6084,+1-838-463-5897,nydzi6084@gmail.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T20:45:00,2025-11-27T21:20:00,116.97,128.75
NJ-ILY8215,+1-551-991-0243,njily8215@yahoo.com,George Washington Bridge,Bronx Terminal Market,2025-11-27T21:03:00,2025-11-27T21:41:00,84.82,96.56
IL-SAP5527,+1-331-348-6645,ilsap5527@outlook.com,George Washington Bridge,I-95 Exit 15,2025-11-27T14:06:00,2025-11-27T14:23:00,72.71,80.47
NY-HTT8655,+1-845-645-2988,nyhtt8655@gmail.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T14:39:00,2025-11-27T15:19:00,109.86,120.7
IL-DEF7949,+1-464-444-7888,ildef7949@icloud.com,I-87 Exit 7A,Lincoln Tunnel,2025-11-27T13:47:00,2025-11-27T14:03:00,120.44,128.75
IL-ZYC7130,+1-847-290-5091,ilzyc7130@outlook.com,Wall Street,Lincoln Tunnel,2025-11-27T08:31:00,2025-11-27T08:56:00,121.58,112.65
FL-AQY2428,+1-813-627-5809,flaqy2428@outlook.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T20:34:00,2025-11-27T21:26:00,98.06,96.56
CA-EFM1131,+1-818-236-0921,caefm1131@gmail.com,I-95 Exit 15,Times Square,2025-11-27T21:21:00,2025-11-27T21:53:00,93.21,96.56
NY-SKC8951,+1-631-556-6610,nyskc8951@outlook.com,Brooklyn Bridge,Times Square,2025-11-27T21:31:00,2025-11-27T21:48:00,94.29,104.61
IL-AGB9357,+1-847-443-6854,ilagb9357@gmail.com,Brooklyn Bridge,Times Square,2025-11-27T20:46:00,2025-11-27T21:05:00,157.07,128.75
FL-YOK4983,+1-321-473-9559,flyok4983@icloud.com,George Washington Bridge,Brooklyn Bridge,2025-11-27T21:03:00,2025-11-27T21:55:00,127.05,112.65
FL-JCH5493,+1-754-757-4155,fljch5493@icloud.com,Wall Street,Times Square,2025-11-27T10:17:00,2025-11-27T11:07:00,87.94,104.61
NJ-GRL8917,+1-973-864-6689,njgrl8917@icloud.com,Times Square,Wall Street,2025-11-27T10:23:00,2025-11-27T11:17:00,137.88,112.65
TX-GQE8627,+1-713-961-7488,txgqe8627@gmail.com,Bronx Terminal Market,I-95 Exit 15,2025-11-27T08:54:00,2025-11-27T09:29:00,107.69,104.61
NY-DRU9038,+1-631-511-2626,nydru9038@outlook.com,Brooklyn Bridge,Queens Blvd,2025-11-27T16:39:00,2025-11-27T17:19:00,132.78,112.65
CA-GSC3002,+1-661-846-7746,cagsc3002@yahoo.com,I-87 Exit 7A,Lincoln Tunnel,2025-11-27T21:43:00,2025-11-27T22:32:00,123.34,128.75
TX-NCM6749,+1-430-422-3603,txncm6749@yahoo.com,I-87 Exit 7A,Brooklyn Bridge,2025-11-27T07:30:00,2025-11-27T08:12:00,83.86,80.47
NJ-DOT5812,+1-551-635-8944,njdot5812@gmail.com,I-95 Exit 15,Times Square,2025-11-27T18:38:00,2025-11-27T19:14:00,98.97,120.7
CA-KWO8017,+1-650-390-1711,cakwo8017@icloud.com,Wall Street,Times Square,2025-11-27T17:41:00,2025-11-27T18:33:00,89.44,112.65
IL-IUD8258,+1-630-788-4677,iliud8258@icloud.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T13:44:00,2025-11-27T13:57:00,120.13,120.7
FL-HYP8385,+1-727-588-2040,flhyp8385@yahoo.com,Wall Street,Staten Island Ferry,2025-11-27T08:48:00,2025-11-27T09:11:00,108.04,128.75
NY-WNM8722,+1-718-736-3439,nywnm8722@icloud.com,Lincoln Tunnel,George Washington Bridge,2025-11-27T15:27:00,2025-11-27T15:45:00,77.97,80.47
TX-VUK9632,+1-726-440-9858,txvuk9632@outlook.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T12:38:00,2025-11-27T13:11:00,135.16,128.75
FL-BJP4840,+1-305-271-8675,flbjp4840@yahoo.com,Brooklyn Bridge,Manhattan Downtown,2025-11-27T16:12:00,2025-11-27T16:38:00,106.5,104.61
TX-KYO8549,+1-726-919-3118,txkyo8549@icloud.com,Wall Street,Bronx Terminal Market,2025-11-27T14:29:00,2025-11-27T15:08:00,136.97,112.65
NY-SXA8059,+1-516-695-5083,nysxa8059@gmail.com,Times Square,Wall Street,2025-11-27T20:51:00,2025-11-27T21:47:00,85.18,104.61
FL-ILU8101,+1-407-454-6728,flilu8101@gmail.com,Lincoln Tunnel,I-95 Exit 15,2025-11-27T08:52:00,2025-11-27T09:46:00,96.59,104.61
CA-UBN3167,+1-909-585-5892,caubn3167@outlook.com,Times Square,Brooklyn Bridge,2025-11-27T19:29:00,2025-11-27T20:23:00,124.03,112.65
NJ-XSI2472,+1-201-548-4225,njxsi2472@yahoo.com,Times Square,Wall Street,2025-11-27T15:41:00,2025-11-27T16:20:00,152.06,128.75
NY-FSI6805,+1-212-447-0614,nyfsi6805@outlook.com,I-95 Exit 15,Manhattan Downtown,2025-11-27T11:41:00,2025-11-27T12:36:00,128.84,112.65
NY-AGC6512,+1-607-671-3593,nyagc6512@icloud.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T15:39:00,2025-11-27T16:14:00,148.32,120.7
NJ-WQT9782,+1-609-420-4643,njwqt9782@yahoo.com,Queens Blvd,Times Square,2025-11-27T12:35:00,2025-11-27T13:06:00,82.37,80.47
IL-VOL6993,+1-464-897-0026,ilvol6993@yahoo.com,Brooklyn Bridge,I-95 Exit 15,2025-11-27T14:14:00,2025-11-27T14:25:00,142.95,112.65
FL-YYH6072,+1-754-508-1379,flyyh6072@outlook.com,Queens Blvd,Times Square,2025-11-27T15:13:00,2025-11-27T16:04:00,142.97,112.65
FL-XFH5809,+1-754-572-3890,flxfh5809@icloud.com,Brooklyn Bridge,Queens Blvd,2025-11-27T15:37:00,2025-11-27T16:16:00,90.07,80.47
CA-FRR2842,+1-213-268-2782,cafrr2842@outlook.com,Staten Island Ferry,Times Square,2025-11-27T16:39:00,2025-11-27T17:32:00,80.16,96.56
FL-OZG4597,+1-448-986-2630,flozg4597@outlook.com,Times Square,George Washington Bridge,2025-11-27T19:39:00,2025-11-27T20:32:00,124.15,96.56
FL-ODK2929,+1-689-874-4932,flodk2929@outlook.com,Times Square,Bronx Terminal Market,2025-11-27T12:16:00,2025-11-27T12:32:00,98.28,104.61
IL-VHW5552,+1-464-686-8502,ilvhw5552@outlook.com,Lincoln Tunnel,Staten Island Ferry,2025-11-27T15:25:00,2025-11-27T16:02:00,80.92,104.61
CA-NHO4805,+1-562-242-2700,canho4805@icloud.com,Staten Island Ferry,George Washington Bridge,2025-11-27T08:06:00,2025-11-27T08:56:00,80.43,96.56
CA-UZJ2727,+1-310-526-9166,cauzj2727@icloud.com,I-87 Exit 7A,Lincoln Tunnel,2025-11-27T21:46:00,2025-11-27T22:13:00,89.6,104.61
NY-EXN5443,+1-585-367-0508,nyexn5443@gmail.com,Times Square,George Washington Bridge,2025-11-27T09:46:00,2025-11-27T10:38:00,147.58,120.7
NY-YTG3043,+1-718-412-2648,nyytg3043@gmail.com,Brooklyn Bridge,I-95 Exit 15,2025-11-27T15:01:00,2025-11-27T15:50:00,126.47,96.56
IL-SIW5137,+1-815-814-7379,ilsiw5137@icloud.com,Queens Blvd,Wall Street,2025-11-27T17:13:00,2025-11-27T17:30:00,80.85,96.56
TX-TZA7553,+1-469-714-4981,txtza7553@outlook.com,I-87 Exit 7A,Staten Island Ferry,2025-11-27T11:58:00,2025-11-27T12:26:00,121.11,120.7
NY-NXI4166,+1-838-633-1363,nynxi4166@outlook.com,Queens Blvd,Manhattan Downtown,2025-11-27T16:26:00,2025-11-27T16:57:00,123.59,128.75
CA-XTK6923,+1-805-746-9180,caxtk6923@icloud.com,Brooklyn Bridge,Manhattan Downtown,2025-11-27T16:28:00,2025-11-27T17:02:00,133.17,112.65
NY-GUC1338,+1-332-483-9764,nyguc1338@gmail.com,Staten Island Ferry,Lincoln Tunnel,2025-11-27T22:29:00,2025-11-27T23:08:00,107.22,112.65
FL-NZN2247,+1-305-772-2444,flnzn2247@yahoo.com,Bronx Terminal Market,Times Square,2025-11-27T15:55:00,2025-11-27T16:41:00,110.67,128.75
IL-LPR1424,+1-331-867-9365,illpr1424@gmail.com,Wall Street,I-87 Exit 7A,2025-11-27T22:33:00,2025-11-27T22:45:00,98.64,112.65
CA-FEN3366,+1-442-630-4633,cafen3366@icloud.com,Bronx Terminal Market,Lincoln Tunnel,2025-11-27T09:33:00,2025-11-27T10:10:00,140.59,128.75
TX-VYI1448,+1-346-225-6554,txvyi1448@icloud.com,I-87 Exit 7A,Wall Street,2025-11-27T21:18:00,2025-11-27T21:42:00,100.73,80.47
TX-LDV1313,+1-817-303-3601,txldv1313@yahoo.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T17:52:00,2025-11-27T18:06:00,123.67,104.61
IL-HMI5924,+1-618-700-4797,ilhmi5924@gmail.com,Brooklyn Bridge,Bronx Terminal Market,2025-11-27T11:02:00,2025-11-27T11:39:00,147.89,128.75
NY-VCK2655,+1-845-902-1620,nyvck2655@icloud.com,Brooklyn Bridge,Queens Blvd,2025-11-27T16:45:00,2025-11-27T17:09:00,93.94,96.56
FL-ATH7728,+1-727-611-7395,flath7728@icloud.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T18:19:00,2025-11-27T18:51:00,102.55,80.47
TX-KVR3191,+1-432-998-1052,txkvr3191@icloud.com,Wall Street,Queens Blvd,2025-11-27T11:04:00,2025-11-27T11:37:00,135.48,104.61
IL-JGO1666,+1-872-374-2998,iljgo1666@outlook.com,Brooklyn Bridge,Bronx Terminal Market,2025-11-27T12:51:00,2025-11-27T13:39:00,106.64,128.75
IL-ADJ5381,+1-779-875-4394,iladj5381@icloud.com,Lincoln Tunnel,Staten Island Ferry,2025-11-27T13:56:00,2025-11-27T14:26:00,85.87,104.61
TX-DFF2336,+1-713-529-5777,txdff2336@icloud.com,George Washington Bridge,I-95 Exit 15,2025-11-27T14:50:00,2025-11-27T15:08:00,126.94,120.7
CA-IYE9899,+1-805-899-1417,caiye9899@outlook.com,Manhattan Downtown,George Washington Bridge,2025-11-27T10:46:00,2025-11-27T11:14:00,126.43,120.7
FL-RPI1259,+1-305-339-5450,flrpi1259@icloud.com,Lincoln Tunnel,Staten Island Ferry,2025-11-27T15:20:00,2025-11-27T16:13:00,102.68,96.56
NY-RWS8277,+1-718-509-4816,nyrws8277@gmail.com,Staten Island Ferry,Bronx Terminal Market,2025-11-27T10:56:00,2025-11-27T11:28:00,76.74,80.47
NY-SXT1206,+1-718-552-5830,nysxt1206@gmail.com,I-95 Exit 15,Lincoln Tunnel,2025-11-27T16:54:00,2025-11-27T17:18:00,79.17,96.56
TX-SXG5480,+1-214-213-0316,txsxg5480@icloud.com,Lincoln Tunnel,I-87 Exit 7A,2025-11-27T11:16:00,2025-11-27T11:56:00,108.52,104.61
NY-ICD7336,+1-646-299-5360,nyicd7336@outlook.com,Wall Street,Bronx Terminal Market,2025-11-27T19:17:00,2025-11-27T20:06:00,102.76,120.7
NJ-ODM8778,+1-640-541-6232,njodm8778@gmail.com,Lincoln Tunnel,I-87 Exit 7A,2025-11-27T17:56:00,2025-11-27T18:22:00,136.56,104.61
CA-PBV9721,+1-657-756-2126,capbv9721@gmail.com,Manhattan Downtown,George Washington Bridge,2025-11-27T19:49:00,2025-11-27T20:44:00,110.52,120.7
TX-WWN9829,+1-469-460-8054,txwwn9829@outlook.com,Staten Island Ferry,George Washington Bridge,2025-11-27T11:41:00,2025-11-27T12:36:00,137.03,112.65
NJ-PZN3489,+1-908-513-8348,njpzn3489@yahoo.com,Queens Blvd,George Washington Bridge,2025-11-27T11:46:00,2025-11-27T12:12:00,97.83,96.56
FL-PNL9342,+1-407-969-5763,flpnl9342@yahoo.com,Wall Street,Queens Blvd,2025-11-27T12:45:00,2025-11-27T13:37:00,134.59,128.75
FL-DSE9675,+1-561-849-8962,fldse9675@gmail.com,I-87 Exit 7A,Bronx Terminal Market,2025-11-27T08:21:00,2025-11-27T09:08:00,105.12,104.61
TX-HHA5576,+1-254-470-3241,txhha5576@yahoo.com,Staten Island Ferry,Bronx Terminal Market,2025-11-27T19:40:00,2025-11-27T20:16:00,93.25,96.56
TX-THU6259,+1-737-628-3203,txthu6259@outlook.com,I-87 Exit 7A,Queens Blvd,2025-11-27T17:36:00,2025-11-27T18:00:00,85.8,96.56
FL-IWH3104,+1-448-278-7893,fliwh3104@icloud.com,Brooklyn Bridge,Staten Island Ferry,2025-11-27T18:19:00,2025-11-27T19:06:00,140.08,112.65
FL-WYK9268,+1-954-269-3473,flwyk9268@icloud.com,Brooklyn Bridge,Bronx Terminal Market,2025-11-27T22:03:00,2025-11-27T22:38:00,117.55,112.65
TX-ILI4588,+1-737-763-6807,txili4588@outlook.com,Manhattan Downtown,I-95 Exit 15,2025-11-27T20:57:00,2025-11-27T21:21:00,105.18,128.75
CA-HFN3038,+1-909-631-5429,cahfn3038@icloud.com,Bronx Terminal Market,Lincoln Tunnel,2025-11-27T15:29:00,2025-11-27T15:39:00,136.04,104.61
TX-WHM3591,+1-432-258-0679,txwhm3591@icloud.com,Times Square,George Washington Bridge,2025-11-27T19:07:00,2025-11-27T19:31:00,58.66,80.47
IL-ZNP7306,+1-309-634-1498,ilznp7306@outlook.com,Lincoln Tunnel,Bronx Terminal Market,2025-11-27T22:13:00,2025-11-27T22:34:00,146.6,128.75
IL-VOU8328,+1-847-974-9080,ilvou8328@yahoo.com,Manhattan Downtown,Lincoln Tunnel,2025-11-27T17:09:00,2025-11-27T18:03:00,111.2,104.61
NJ-RMP8286,+1-732-891-0954,njrmp8286@gmail.com,I-95 Exit 15,I-87 Exit 7A,2025-11-27T09:54:00,2025-11-27T10:32:00,153.87,128.75
FL-SOQ8844,+1-305-895-5189,flsoq8844@icloud.com,Staten Island Ferry,I-87 Exit 7A,2025-11-27T16:12:00,2025-11-27T16:39:00,126.76,104.61
TX-OST9673,+1-737-231-6357,txost9673@gmail.com,Manhattan Downtown,I-87 Exit 7A,2025-11-27T22:21:00,2025-11-27T22:38:00,95.18,80.47
NJ-NJX8789,+1-973-626-4684,njnjx8789@icloud.com,Brooklyn Bridge,I-87 Exit 7A,2025-11-27T08:27:00,2025-11-27T09:17:00,101.3,112.65
IL-OPT3254,+1-464-848-3976,ilopt3254@gmail.com,Lincoln Tunnel,Queens Blvd,2025-11-27T22:10:00,2025-11-27T22:57:00,101.45,96.56
TX-FWN7790,+1-469-732-8727,txfwn7790@gmail.com,Lincoln Tunnel,Wall Street,2025-11-27T16:07:00,2025-11-27T16:33:00,119.9,128.75
CA-NNS6485,+1-805-576-0242,canns6485@outlook.com,Bronx Terminal Market,I-87 Exit 7A,2025-11-27T14:42:00,2025-11-27T15:18:00,98.14,120.7
NJ-QQP8274,+1-908-966-9258,njqqp8274@yahoo.com,Bronx Terminal Market,Times Square,2025-11-27T06:58:00,2025-11-27T07:23:00,64.85,80.47
NJ-WYC1901,+1-732-734-5760,njwyc1901@icloud.com,George Washington Bridge,Queens Blvd,2025-11-27T12:27:00,2025-11-27T12:56:00,144.62,120.7
IL-ZSB1014,+1-815-977-6813,ilzsb1014@yahoo.com,Queens Blvd,Bronx Terminal Market,2025-11-27T06:16:00,2025-11-27T06:52:00,141.26,128.75
FL-SNS9229,+1-321-423-6695,flsns9229@yahoo.com,Wall Street,Lincoln Tunnel,2025-11-27T11:42:00,2025-11-27T12:29:00,127.39,96.56
IL-XOF1697,+1-447-938-3866,ilxof1697@icloud.com,Manhattan Downtown,Bronx Terminal Market,2025-11-27T12:56:00,2025-11-27T13:08:00,136.74,112.65
NY-XCC2701,+1-212-549-9923,nyxcc2701@outlook.com,Brooklyn Bridge,George Washington Bridge,2025-11-27T21:59:00,2025-11-27T22:25:00,86.83,96.56
CA-ZKP4831,+1-310-780-0177,cazkp4831@outlook.com,Lincoln Tunnel,Brooklyn Bridge,2025-11-27T10:56:00,2025-11-27T11:06:00,126.27,112.65
TX-RWM2895,+1-512-402-6201,txrwm2895@outlook.com,Brooklyn Bridge,Queens Blvd,2025-11-27T07:39:00,2025-11-27T08:17:00,75.52,80.47
NY-QKC8103,+1-332-501-8109,nyqkc8103@yahoo.com,Manhattan Downtown,Bronx Terminal Market,2025-11-27T15:05:00,2025-11-27T16:02:00,108.51,128.75
FL-YHJ7984,+1-954-492-3103,flyhj7984@outlook.com,I-95 Exit 15,Wall Street,2025-11-27T09:33:00,2025-11-27T09:58:00,112.57,120.7
